user_000249,12943,user_000249,m,25,United States,"Dec 16, 2005"
user_000889,12904,user_000889,m,"",Sweden,"Apr 26, 2006"
user_000837,12539,user_000837,f,"",United States,"May 31, 2005"
user_000293,12522,user_000293,"",39,United Kingdom,"Jan 31, 2005"
user_000882,12520,user_000882,m,"",United States,"Apr 29, 2004"
user_000329,12294,user_000329,m,21,Belgium,"Nov 16, 2006"
user_000630,12213,user_000630,f,"",United States,"May 22, 2005"
user_000767,12106,user_000767,m,"",United States,"Jan 22, 2006"
user_000802,12043,user_000802,f,"",United Kingdom,"Jun 12, 2006"
user_000536,11969,user_000536,m,"",Spain,"Jun 7, 2005"
user_000651,11788,user_000651,m,"",United States,"Dec 17, 2007"
user_000445,11691,user_000445,"","",Finland,"Dec 5, 2006"
user_000250,11534,user_000250,m,21,Canada,"Jun 30, 2006"
user_000002,11324,user_000002,f,"",Peru,"Feb 24, 2006"
user_000909,11255,user_000909,m,"",Sweden,"Apr 29, 2005"
user_000515,11144,user_000515,m,"",Netherlands,"Mar 30, 2006"
user_000958,11064,user_000958,m,"",Mexico,"Aug 26, 2005"
user_000593,11025,user_000593,f,"","","Jun 29, 2006"
user_000787,10991,user_000787,f,"",United Kingdom,"Feb 23, 2006"
user_000603,10917,user_000603,m,"",United Kingdom,"Feb 25, 2006"
user_000871,10847,user_000871,"","",Argentina,"Feb 3, 2005"
user_000681,10782,user_000681,m,"",United States,"Dec 20, 2004"
user_000366,10750,user_000366,m,24,Finland,"Dec 12, 2004"
user_000205,10671,user_000205,m,26,Mexico,"Aug 7, 2006"
user_000499,10605,user_000499,f,"","","Jul 5, 2006"
user_000345,10544,user_000345,f,"",United States,"May 29, 2005"
user_000384,10418,user_000384,m,"",United Kingdom,"Sep 28, 2004"
user_000522,10378,user_000522,f,"",Norway,"Nov 9, 2005"
user_000022,10315,user_000022,m,38,United Kingdom,"May 14, 2006"
user_000885,10281,user_000885,m,"",United States,"Jun 8, 2005"
user_000067,10201,user_000067,m,36,Canada,"Mar 8, 2005"
user_000710,10168,user_000710,m,"",Estonia,"Apr 24, 2007"
user_000570,10112,user_000570,m,"",Brazil,"Jun 27, 2005"
user_000747,10100,user_000747,f,"",Poland,"Apr 21, 2006"
user_000170,10029,user_000170,f,29,Canada,"Apr 27, 2005"
user_000844,10027,user_000844,"","",Norway,"Apr 10, 2004"
user_000429,9893,user_000429,"","",Turkey,"Jan 15, 2006"
user_000792,9822,user_000792,m,"","","Jan 30, 2005"
user_000798,9756,user_000798,f,"",Finland,"Jun 28, 2005"
user_000995,9753,user_000995,f,"",Australia,"Jan 22, 2006"
user_000160,9700,user_000160,m,19,United Kingdom,"Jun 23, 2006"
user_000180,9685,user_000180,m,20,Ireland,"Oct 26, 2005"
user_000751,9666,user_000751,m,"",United States,"Jun 14, 2005"
user_000939,9660,user_000939,f,"",Canada,"Dec 19, 2005"
user_000920,9641,user_000920,f,"",United States,"Sep 14, 2005"
user_000722,9638,user_000722,m,"",Turkey,"Apr 17, 2005"
user_000089,9631,user_000089,f,27,United States,"Dec 25, 2005"
user_000137,9576,user_000137,m,19,Chile,"Dec 1, 2006"
user_000789,9556,user_000789,f,"",United States,"Mar 28, 2005"
user_000790,9537,user_000790,f,"","","Feb 1, 2006"
user_000095,9504,user_000095,f,4,"","Jan 27, 2006"
user_000480,9487,user_000480,f,"",United States,"Jul 20, 2005"
